Провайдер;Название;ID;RTP по умолчанию;Url;MobileUrl;Тип игры;Сортировка;Сортировка по категориям;Категории;Статус;Фрираунды;Минимальная ставка;Максимальная ставка;Максимальный множитель;Волатильность провайдера
"Novomatic (NovomaticGames)";"Fortune God";"2705537";"92.1300";"101000__wp";"101000__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.09";"72.00";"6944.44";"High"
"Novomatic (NovomaticGames)";"Book Hotfire";"2705540";"92.1300";"101001__wp";"101001__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"75.00";"6666.67";"High"
"Novomatic (NovomaticGames)";"50 Jokers Hotfire";"2705543";"95.0000";"101002__wp";"101002__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.50";"2300.00";"217.39";"Low"
"Novomatic (NovomaticGames)";"Wings Of Fire";"2741750";"92.2900";"102045__wp";"102045__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"238.00";"2000.00";"Med High"
"Novomatic (NovomaticGames)";"Hot Chance";"2744499";"92.1200";"102044__wp";"102044__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.50";"1560.00";"0.00";"Med High"
"Novomatic (NovomaticGames)";"50 Jokers Christmas";"2748805";"95.0000";"101014__wp";"101014__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.50";"2300.00";"0.00";"Low"
"Novomatic (NovomaticGames)";"Million Dollar Heist";"2759874";"94.0000";"101012__wp";"101012__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"450.00";"1111.11";"Med High"
"Novomatic (NovomaticGames)";"5 Sevens";"2771862";"95.6600";"101011__wp";"101011__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.50";"500.00";"1000.00";"Medium"
"Novomatic (NovomaticGames)";"Macarena";"2780006";"95.0200";"101010__wp";"101010__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.01";"784.00";"637.50";"Medium"
"Novomatic (NovomaticGames)";"20 Mega Hotfire";"2784350";"95.0500";"101015__wp";"101015__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.01";"250.00";"2000.00";"Medium"
"Novomatic (NovomaticGames)";"Roaring Forties";"2788290";"92.1200";"102046__wp";"102046__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.40";"500.00";"1000.00";"Medium"
"Novomatic (NovomaticGames)";"5 Super Clover";"2801454";"95.1800";"101013__wp";"101013__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"381.00";"1312.00";"Low Medium"
"Novomatic (NovomaticGames)";"Book Of Ra Magic";"2811618";"92.1300";"102047__wp";"102047__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"60.00";"6422.00";"High"
"Novomatic (NovomaticGames)";"Queen Of Hearts Deluxe";"2815637";"90.3700";"102048__wp";"102048__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"234.20";"2134.60";"Medium"
"Novomatic (NovomaticGames)";"Million Dollar Heist Xtreme";"2819824";"94.0000";"101017__wp";"101017__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"114.90";"4351.61";"Med High"
"Novomatic (NovomaticGames)";"Ultra Hotfire";"2824572";"94.0000";"101018__wp";"101018__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"2500.00";"200.00";"Low Medium"
"Novomatic (NovomaticGames)";"Sizzling Hot";"2829552";"92.2800";"102049__wp";"102049__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"500.00";"1000.00";"Medium"
"Novomatic (NovomaticGames)";"The Money Game";"2843676";"92.1900";"102050__wp";"102050__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.18";"130.32";"3834.66";"High"
"Novomatic (NovomaticGames)";"Book Hotfire Buy Bonus";"2843680";"96.0600";"101016__wp";"101016__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"75.00";"6422.00";"High"
"Novomatic (NovomaticGames)";"40 Mega Hotfire";"2862688";"95.0500";"101019__wp";"101019__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.40";"250.00";"2000.00";"Low Medium"
"Novomatic (NovomaticGames)";"Book Hotfire Multichance Buy Bonus";"2862864";"92.0600";"101020__wp";"101020__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"60.00";"7506.50";"High"
"Novomatic (NovomaticGames)";"The Magic Flute";"2883072";"92.0200";"102052__wp";"102052__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.18";"190.35";"2626.12";"Med High"
"Novomatic (NovomaticGames)";"Ultra Hot Deluxe";"2893492";"92.0100";"102053__wp";"102053__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"3333.00";"150.00";"Low Medium"
"Novomatic (NovomaticGames)";"Book of Ra Deluxe Buy Bonus";"2915196";"92.1300";"102054__wp";"102054__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"60.00";"6422.00";"High"
"Novomatic (NovomaticGames)";"Aztec Eclipse Hold & Win";"2945753";"92.0000";"101022__wp";"101022__mp";"HasDemo ";"100000";"0, 0";"Slots,Jackpots";"1";"Все";"0.25";"371.00";"150.00";"Medium"
"Novomatic (NovomaticGames)";"Rise of Tut Magic Buy Bonus";"2948793";"94.0000";"102051__wp";"102051__mp";"HasDemo ";"100000";"0";"Slots";"1";"Все";"0.20";"386.90";"1292.00";"High"
